t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Fault_Type
-0.0010278720456118,12.517657622116523,-0.0200578819721435,2280.9735941690183,5.009308784484086,1194.3169125201705,316.8536231103896,1.159939139784642,653.6628654047854,653.5868054221505,-10.808308212012458,317.6323965445843,0.0990616133456148,54.422201363004405,54.401976687413374,-1.1560741035275013,708.1082605183948,708.0034900034894,-11.940541112272616,4
0.2690745535382055,12.51771063239841,0.013245627044684,2279.995460217262,4.956557722895404,1184.2571893181837,316.9481885791104,1.1680478897083049,655.3866226082987,655.2543527954388,-13.242589738139896,317.67311045037746,0.0920024359851228,53.68846842383652,53.652285399342176,-1.057193842480996,709.0561866181523,708.9124403374418,-14.336142333611969,4
0.506757795393882,12.509936951333149,-0.0057423001978987,2279.984555176513,4.982423095569339,1191.4259106491038,314.179119763074,1.1970881342875894,663.2363019254207,663.0855235550549,-13.797585243072302,314.7975080712542,0.0935931884590316,53.57993421929923,53.59434723510439,-0.8014766730016725,716.8352236164186,716.7018377471111,-14.580583002468517,4
0.7530781160876265,12.497340493498896,-0.0014657362852534,2280.97841473452,4.96423553193506,1184.7647752304997,314.2597164590404,1.1791140745854598,656.8885058040745,656.7043850688289,-15.719599659658352,314.8790537647819,0.0841905528911039,54.01229212948738,54.01918572107788,-0.7892479692062939,710.9055656002372,710.7146565159827,-16.52197578939247,4
1.0111969517493022,12.503793070538132,-0.000262288830627,2278.0056614070163,4.925997109187064,1176.0631985627317,313.00278222045205,1.1853107444662336,661.8559650360255,661.7065329977061,-15.084174113514203,313.5540718677901,0.1131796817948348,55.79493059370218,55.779984891823545,-1.974342952353088,717.677144547629,717.4617139192022,-17.060799190796814,4
1.2125345011698851,12.50946321831785,-4.358422412153801e-05,2278.9966838397186,4.90488071079471,1171.791393164413,313.4628239473229,1.1908605278064035,655.3423437070147,655.2305780724562,-12.197410308834334,313.9674697102388,0.1124239899748826,55.779243171921046,55.7419884966582,-1.9388103657579625,711.129636640803,710.9709930521467,-14.157862315973476,4
1.4709959347321968,12.507398546871393,0.0118185429752301,2278.999594587069,4.93678617033206,1174.1906222234663,312.84928633954456,1.1857816992857193,658.2454344930705,658.0656207852899,-14.89508673301063,313.3635768006006,0.0942102901270697,55.04680777731605,55.01944396629919,-1.7835171248837307,713.2929657825213,713.1104352695199,-16.683067521029702,4
1.7057743965979797,12.496358030115106,0.0065661419399243,2279.0129017205822,4.973180464951089,1183.7500593257255,312.2211629253276,1.1798089337090036,658.3776815851545,658.2742583809878,-12.40429542079326,312.713477423963,0.1146415215724001,54.894222432057255,54.85477328016891,-2.0260156640242992,713.2758682709258,713.1285396783071,-14.423953004920362,4
1.98872948154554,12.511201679792196,0.0144827663177088,2280.005373413367,4.935074232463916,1177.0915552131964,312.179177782165,1.1809322264637614,656.8564493825402,656.6740996889243,-15.630551951425645,312.7075543173912,0.0902002712413301,55.70744037365808,55.68259957126814,-1.799037805985071,712.5746879788232,712.3780577896999,-17.393409673802896,4
2.229578870044729,12.502421961746936,0.0110949340742372,2278.991343085451,4.943476320204964,1181.3488822371248,315.0609563396007,1.1967072290923375,659.1797697083364,659.07379903003,-12.5924994646936,315.64180542622654,0.1090160062230626,56.2351258011736,56.19579273779999,-1.8616273315848035,715.3998688968741,715.2616766999909,-14.443472772189246,4
2.45746592034528,12.515076116235758,0.0027488535351688,2278.0102507735046,4.944774684551617,1178.4542829220088,314.7901841932718,1.1930901589691807,654.9663994431592,654.822589860604,-14.758868699243989,315.2949621810908,0.1049485619487536,55.52370384493752,55.50166692250958,-1.6761425720630108,710.4977115453659,710.3100276399819,-16.424389169477188,4
2.7200093536342944,12.477736335793878,-0.0019866177119381,2279.0023185942564,4.954616084673144,1181.3529209875733,314.44770858599014,1.1953267249973514,657.1525591558034,657.0016029260337,-14.018640715208932,314.9588748797556,0.1066800553411175,54.89612188974226,54.87670818340482,-1.535149913474828,712.061537890236,711.8808576594705,-15.549056007872087,4
2.9571217976966726,12.496776482534331,-0.0030310780443348,2279.998589095904,4.990514642997019,1191.3991330354047,317.2536992944896,1.1861100046849384,656.3778814690294,656.1948825023838,-15.076639685163594,317.86783715182514,0.0965530709228022,54.54444509363751,54.53667635338178,-1.5551104312937785,710.9084850326698,710.7269528005634,-16.63621655635099,4
3.2210717794875774,12.496454066285596,-0.0018921367295508,2280.010948070891,4.94560077251551,1181.868330481974,317.1758014305503,1.2073240483587335,654.1619019744224,654.0401491957814,-12.677878848294814,317.75952667196265,0.0999161492121967,55.27914796726397,55.24769901982004,-1.8884543133995304,709.431060662197,709.2796522167573,-14.577986457258072,4
3.451605935026313,12.500477988247304,0.0090381322944263,2279.982642991523,4.95903928055566,1181.8633830224078,312.1696647325199,1.1677391372755674,655.4000571173086,655.2263164359115,-14.397491167683018,312.73073603911286,0.0981600104481913,56.58601992705451,56.55924586663087,-1.28155431048431,711.9710244472009,711.7848741972433,-15.666826721928954,4
3.7170894116941313,12.481052881703343,0.0053943795468192,2278.986306668944,4.922868804456281,1181.360834140068,309.0350217376514,1.165593113179195,655.4223011254404,655.2624728059789,-13.994294103283703,309.5677599700327,0.1165617901302673,55.81956117038578,55.79658516203586,-1.446091729772173,711.2427878933063,711.067469098349,-15.42967076100899,4
