t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Fault_Type
-0.000150149128823,12.487082941915167,0.0072716603378115,2279.9928301193063,4.98123227098006,1186.6385633462924,310.5193102237809,1.2098897321120596,680.1576507603638,680.0150161971301,-14.809628770866016,311.0379134387774,0.1013319100212749,59.52143015887794,59.506102983646095,-1.3903146017731605,739.6731919830738,739.5096992428815,-16.1951062598543,2
0.2444460018398203,12.500791382241532,0.0020577436934831,2278.994554416255,5.038157447422118,1198.0520604323513,310.6705023450376,1.2157973530304658,678.5151996266771,678.3890731950211,-13.264019474236404,311.1965395044984,0.092114986095661,59.14699674256264,59.144604840773376,-1.7510746277166511,737.6594463944303,737.5090055358226,-15.032561380112694,2
0.5044489619598638,12.501821496714124,-0.0101601166765136,2279.99282759567,4.991108917516939,1191.4336695422662,311.276891217626,1.2294450931898795,682.9450223484122,682.750912873237,-16.31589161782648,311.7732124605499,0.1112839587662877,59.54779741909552,59.52392601802252,-1.68973829804194,742.5086260869003,742.2919614673793,-18.01175913123786,2
0.7502688264588822,12.480863709053352,-0.0217822994399999,2279.0139707496896,5.007110232929614,1195.6763195824064,311.1200479213824,1.1807855541143313,676.4306665951469,676.274238890841,-14.401040641844869,311.64698266180216,0.112106529016734,59.08210623656704,59.05781110855688,-1.7430047238056876,735.4952066732874,735.346284140843,-16.13458804744179,2
0.9837394583862044,12.480607906451691,-0.0050843721568684,2281.001196833262,5.009343935705816,1194.3410969215574,313.6823283006382,1.2185315650722244,682.8374332731559,682.6966102928411,-13.528578172648334,314.17708710337,0.1032789867941574,60.38792970272392,60.366320694454,-1.5198456163391814,743.2014571637776,743.0645151734101,-15.092951319656787,2
1.2440684065654557,12.501788096087049,-0.0007594987713661,2281.990391585311,4.9909440926621045,1187.6931510685856,315.6217802474493,1.1947575470457463,676.2752934095705,676.1838951320816,-11.97633386091988,316.1417029160641,0.1155458627637342,59.861678586174826,59.84676085611647,-0.8240619505531269,736.1327281244871,736.0119270247993,-12.799559449747424,2
1.4851387223367614,12.488698693224134,0.0165697241385371,2282.004737464444,5.00022551365897,1194.8354306739704,316.4209835882044,1.2269797679808987,686.0467772434002,685.8864555496109,-14.929529146171424,316.8626952106967,0.090685914893003,59.49675623689466,59.47565141328992,-0.821128659791562,745.5355376651074,745.3680834451609,-15.751043001805549,2
1.7483035695002729,12.480098024844176,-0.0010473831345033,2282.0126230680803,4.9737637551760505,1185.291656508851,311.3968047662878,1.2225525419633114,684.8446739254705,684.7370771349798,-12.207658324169678,311.8670601235285,0.1020862605307511,57.56120607639311,57.56570918982676,0.3467645972713951,742.4035561357272,742.3012596813869,-11.85031230770105,2
1.996968620610428,12.480762795246688,0.0146320964213896,2281.987142886084,4.9906370707152,1192.4535908189994,314.7211754152341,1.2410353899635538,685.4076267627249,685.2511831856186,-14.46886849845467,315.1500871260003,0.1222650347171404,58.83520365503264,58.809672421442144,0.5277222638257035,744.1917599580221,744.0989244798969,-13.94323907390647,2
2.265358517869613,12.499836410985443,-0.0081321487698526,2281.005801810612,4.964776170107738,1187.1502203380394,315.690231258497,1.2506863064317773,678.2427670509136,678.0987131166514,-13.97548254959357,316.1064909335535,0.1210949235638984,57.496024731893655,57.48985839266164,0.3908715042022418,735.7368058921397,735.6136488789084,-13.580004607569386,2
2.504850789432525,12.49044077854263,-0.010005668817176,2281.003330806268,5.0009102278362825,1194.3194009076778,318.6336615811459,1.2678354919173542,686.7650017235225,686.5504086801974,-16.72159201431842,319.1269875432884,0.1202920344815069,59.31644313617221,59.31014887506918,-0.0351766606002071,746.0420018977532,745.8752046654332,-16.750312047552004,2
2.7472659941648963,12.513388980247852,-0.0009743576091324,2282.0047509411643,4.950892733466995,1187.6816406744158,318.3384785258346,1.2196992013445738,678.9399133294452,678.7799770910835,-14.146450239656488,318.8813528782213,0.128104046777503,58.64669457509656,58.64898564858132,-0.5061383744749189,737.5885544615959,737.4371700793233,-14.67628019668322,2
2.996326557597564,12.50979865201878,-0.0025643184589471,2280.994756005642,5.012390269144301,1194.3506630648333,313.1243899393045,1.250311951666094,689.8369800359817,689.6806427219593,-13.53562653981321,313.65154994887,0.1070431953243804,59.38256082364682,59.3823429939452,0.4307809137687127,749.2048929302753,749.0829576477777,-13.091389700563582,2
3.246523359786171,12.478441943688564,0.0046066798342311,2282.0141058710506,4.983468812015789,1192.4545253526903,318.4464449044913,1.2482106980060268,677.5284140030572,677.3240087344335,-15.462100609360668,318.9240454464661,0.10613910731146,58.112593945973416,58.10133789837551,0.0731943205725741,735.5869705748877,735.4501781642336,-15.422374276319273,2
3.494749818712465,12.496111786295897,0.0035522594861066,2281.999154635681,4.952743114829081,1185.2974703372463,318.29214291511937,1.253948726547584,684.4478168668069,684.3138597982547,-13.724542260573283,318.76414134145256,0.1175518319331194,60.54147873198978,60.52216998948066,0.1166841612323939,744.9749483291065,744.8530142406722,-13.618480344305327,2
3.754549379003105,12.485727263999827,-0.0003596857681047,2282.000741396556,5.042292102234392,1202.019788508861,318.3418216970407,1.2404953240518806,679.5466709449033,679.3917214660192,-15.124315766234774,318.8371861263868,0.1130039408545077,59.18034297134184,59.18807447407114,-0.1806859333511222,738.7247073343635,738.5510835822348,-15.325594985038393,2
