t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.005013837419721307,12.484976883742185,0.008865769651734115,2278.99579013939,4.981314965218853,1186.111372084496,309.1013078084247,1.218210765972851,674.4676552605437,674.3163577946864,-14.74151690451077,309.65238920374566,0.11698863205534747,58.001860366289776,58.00779765939215,0.021369943160748334,732.468524720759,732.3433517641588,-14.73138608239957
0.21706525956982373,12.504271412163472,0.002306400420481272,2279.9960149666954,4.955275513521945,1184.2661711283345,309.07696207882185,1.1987948242725857,673.6341341810953,673.4908619005262,-14.827482716566433,309.54294556263517,0.11839108924249012,56.8856950704501,56.862312033698906,0.2533365031859338,730.5193121332834,730.3859931439976,-14.59740371522924
0.4649064769187904,12.4989770029788,-0.0048054225593305655,2279.0003915153807,5.018388014389317,1200.4393468257601,314.21445605401647,1.2327846322385538,678.1967230833901,678.0797896117735,-12.51205393109936,314.6888036705502,0.11106929773724543,58.18214317517962,58.194387687153466,0.31900395408902465,736.3737069438162,736.2574957625391,-12.176350657974567
0.7217858285768592,12.495464400740765,-0.014641875764839263,2280.0117886041444,4.984940523495196,1191.4171210132965,317.0379538455992,1.226248788398267,673.6928600059307,673.5855698675114,-12.905014499702801,317.49714278528364,0.10230642224004441,58.09018190595918,58.100054359190516,0.27300422741125024,731.8001992971431,731.6986268601745,-12.634051307670326
0.9646856457015612,12.505824470585182,-0.0036645850988396285,2278.9892157874942,5.007312274187267,1193.3023782119683,308.90035849666026,1.2139573858743014,677.7221209738448,677.5326425502253,-15.159758191935206,309.4508272344024,0.11225516107136943,56.89799333382217,56.884318938908635,0.2677545495280222,734.6140811220221,734.4361448516561,-14.901616070572041
1.2340781742222804,12.507185943149521,0.005673950815595229,2278.994537537501,5.027380179693826,1195.6619158782719,311.968349913334,1.2049392123744944,674.742255924922,674.595919305654,-13.452468218672113,312.48307708534236,0.12075972176658945,57.53279533727853,57.52851124679188,0.2722726655319825,732.2556531911223,732.1157665140236,-13.189594474174447
1.4647231126724876,12.491614907826719,-0.0030254725489801465,2279.986302611332,4.990435466158205,1189.012958822478,317.00135770641066,1.2267979404992693,674.8002363340312,674.6399650449731,-15.64884194612022,317.4330520760603,0.1107160163655961,58.61951679139639,58.62684083893466,-0.07531201142538811,733.4588199396236,733.2787394879305,-15.721586165872196
1.7094514639308136,12.49460444369938,-0.022096594689221136,2280.009211361732,4.972115311838,1189.0265890212645,307.11661194641295,1.1923519032499879,674.3277600916169,674.1864476088793,-14.381095297139034,307.643697139054,0.08246160415995261,57.50606432535395,57.49113376082852,-0.041890236513050294,731.8037380702577,731.6695699950332,-14.429942466550163
1.970482236913469,12.515800503183756,-0.0036326426787527556,2278.9957169477057,5.022449504027346,1198.0514240792118,310.3830644757361,1.2219286193606251,678.4339870256671,678.3108913134093,-13.317875116416245,310.86910315355243,0.11122014774396245,58.38776692679702,58.38044671500177,0.057462505603604046,736.8046027223494,736.697373081081,-13.244694592269951
2.22159991924725,12.506406753267115,0.01426409866830025,2279.977206008333,4.992932571715305,1193.8154649490791,314.3431965730845,1.2180399902741497,675.8364219721866,675.6658592844743,-16.245370688811036,314.7761688137346,0.10469495183319498,58.52215849381613,58.506290861728054,0.1524551312882156,734.3472830666918,734.1718442756779,-16.07958330489429
