t/s,UL1-N [V],UL2-N [V],UL3-N [V],UL1-L2 [V],UL2-L3 [V],UL3-L1 [V],I1 [A],I2 [A],I3 [A],IN [A],S1 [VA],S2 [VA],S3 [VA],P1 [W],P2 [W],P3 [W],Q1 [var],Q2 [var],Q3 [var],cos ?1,cos ?2,cos ?3,UTHD1 [%],UTHD2 [%],UTHD3 [%],f [Hz],[V],[V],[A],?S [VA],?P [W],?Q [var],cos ?,Label
0.329,119.213,120.514,118.616,208.22,207.238,205.204,1.06761,0.942556,0.762615,0.243049,127.272,113.591,90.458,-115.809,-104.732,-82.2057,46.2168,35.2683,30.4914,0.909931,0.922011,0.908772,1.88871,2.07844,1.71868,60.0312,119.447,206.887,0.924259,331.321,-302.747,111.976,0.913756,0
0.344,119.213,120.514,118.616,208.22,207.238,205.204,1.06761,0.942556,0.762615,0.243049,127.272,113.591,90.458,-115.809,-104.732,-82.2057,46.2168,35.2683,30.4914,0.909931,0.922011,0.908772,1.88871,2.07844,1.71868,60.0312,119.447,206.887,0.924259,331.321,-302.747,111.976,0.913756,0
0.375,119.24,120.435,118.627,208.131,207.164,205.296,1.06832,0.940524,0.760458,0.247179,127.387,113.272,90.2105,-116.05,-104.684,-82.1779,46.2328,35.0343,29.917,0.911005,0.924179,0.910957,1.86948,2.06507,1.73313,60.0312,119.434,206.864,0.923102,330.87,-302.912,111.184,0.915502,0
0.391,119.24,120.435,118.627,208.131,207.164,205.296,1.06832,0.940524,0.760458,0.247179,127.387,113.272,90.2105,-116.05,-104.684,-82.1779,46.2328,35.0343,29.917,0.911005,0.924179,0.910957,1.86948,2.06507,1.73313,60.0312,119.434,206.864,0.923102,330.87,-302.912,111.184,0.915502,0
0.407,119.24,120.435,118.627,208.131,207.164,205.296,1.06832,0.940524,0.760458,0.247179,127.387,113.272,90.2105,-116.05,-104.684,-82.1779,46.2328,35.0343,29.917,0.911005,0.924179,0.910957,1.86948,2.06507,1.73313,60.0312,119.434,206.864,0.923102,330.87,-302.912,111.184,0.915502,0
0.422,119.24,120.435,118.627,208.131,207.164,205.296,1.06832,0.940524,0.760458,0.247179,127.387,113.272,90.2105,-116.05,-104.684,-82.1779,46.2328,35.0343,29.917,0.911005,0.924179,0.910957,1.86948,2.06507,1.73313,60.0312,119.434,206.864,0.923102,330.87,-302.912,111.184,0.915502,0
0.454,119.24,120.435,118.627,208.131,207.164,205.296,1.06832,0.940524,0.760458,0.247179,127.387,113.272,90.2105,-116.05,-104.684,-82.1779,46.2328,35.0343,29.917,0.911005,0.924179,0.910957,1.86948,2.06507,1.73313,60.0312,119.434,206.864,0.923102,330.87,-302.912,111.184,0.915502,0
0.469,119.24,120.435,118.627,208.131,207.164,205.296,1.06832,0.940524,0.760458,0.247179,127.387,113.272,90.2105,-116.05,-104.684,-82.1779,46.2328,35.0343,29.917,0.911005,0.924179,0.910957,1.86948,2.06507,1.73313,60.0312,119.434,206.864,0.923102,330.87,-302.912,111.184,0.915502,0
0.485,119.24,120.435,118.627,208.131,207.164,205.296,1.06832,0.940524,0.760458,0.247179,127.387,113.272,90.2105,-116.05,-104.684,-82.1779,46.2328,35.0343,29.917,0.911005,0.924179,0.910957,1.86948,2.06507,1.73313,60.0312,119.434,206.864,0.923102,330.87,-302.912,111.184,0.915502,0
0.5,119.24,120.435,118.627,208.131,207.164,205.296,1.06832,0.940524,0.760458,0.247179,127.387,113.272,90.2105,-116.05,-104.684,-82.1779,46.2328,35.0343,29.917,0.911005,0.924179,0.910957,1.86948,2.06507,1.73313,60.0312,119.434,206.864,0.923102,330.87,-302.912,111.184,0.915502,0
0.532,119.24,120.435,118.627,208.131,207.164,205.296,1.06832,0.940524,0.760458,0.247179,127.387,113.272,90.2105,-116.05,-104.684,-82.1779,46.2328,35.0343,29.917,0.911005,0.924179,0.910957,1.86948,2.06507,1.73313,60.0312,119.434,206.864,0.923102,330.87,-302.912,111.184,0.915502,0
0.547,119.24,120.435,118.627,208.131,207.164,205.296,1.06832,0.940524,0.760458,0.247179,127.387,113.272,90.2105,-116.05,-104.684,-82.1779,46.2328,35.0343,29.917,0.911005,0.924179,0.910957,1.86948,2.06507,1.73313,60.0312,119.434,206.864,0.923102,330.87,-302.912,111.184,0.915502,0
0.563,119.221,120.459,118.643,208.134,207.202,205.29,1.06728,0.940339,0.758285,0.247025,127.242,113.272,89.965,-115.915,-104.801,-82.0323,46.293,34.774,29.5635,0.910975,0.925212,0.911825,1.81429,2.04976,1.70041,60.0312,119.441,206.876,0.921968,330.479,-302.747,110.631,0.916086,0
0.594,119.221,120.459,118.643,208.134,207.202,205.29,1.06728,0.940339,0.758285,0.247025,127.242,113.272,89.965,-115.915,-104.801,-82.0323,46.293,34.774,29.5635,0.910975,0.925212,0.911825,1.81429,2.04976,1.70041,60.0312,119.441,206.876,0.921968,330.479,-302.747,110.631,0.916086,0
0.61,119.221,120.459,118.643,208.134,207.202,205.29,1.06728,0.940339,0.758285,0.247025,127.242,113.272,89.965,-115.915,-104.801,-82.0323,46.293,34.774,29.5635,0.910975,0.925212,0.911825,1.81429,2.04976,1.70041,60.0312,119.441,206.876,0.921968,330.479,-302.747,110.631,0.916086,0
0.625,119.221,120.459,118.643,208.134,207.202,205.29,1.06728,0.940339,0.758285,0.247025,127.242,113.272,89.965,-115.915,-104.801,-82.0323,46.293,34.774,29.5635,0.910975,0.925212,0.911825,1.81429,2.04976,1.70041,60.0312,119.441,206.876,0.921968,330.479,-302.747,110.631,0.916086,0
0.641,119.221,120.459,118.643,208.134,207.202,205.29,1.06728,0.940339,0.758285,0.247025,127.242,113.272,89.965,-115.915,-104.801,-82.0323,46.293,34.774,29.5635,0.910975,0.925212,0.911825,1.81429,2.04976,1.70041,60.0312,119.441,206.876,0.921968,330.479,-302.747,110.631,0.916086,0
0.672,119.221,120.459,118.643,208.134,207.202,205.29,1.06728,0.940339,0.758285,0.247025,127.242,113.272,89.965,-115.915,-104.801,-82.0323,46.293,34.774,29.5635,0.910975,0.925212,0.911825,1.81429,2.04976,1.70041,60.0312,119.441,206.876,0.921968,330.479,-302.747,110.631,0.916086,0
0.688,119.221,120.459,118.643,208.134,207.202,205.29,1.06728,0.940339,0.758285,0.247025,127.242,113.272,89.965,-115.915,-104.801,-82.0323,46.293,34.774,29.5635,0.910975,0.925212,0.911825,1.81429,2.04976,1.70041,60.0312,119.441,206.876,0.921968,330.479,-302.747,110.631,0.916086,0
0.704,119.221,120.459,118.643,208.134,207.202,205.29,1.06728,0.940339,0.758285,0.247025,127.242,113.272,89.965,-115.915,-104.801,-82.0323,46.293,34.774,29.5635,0.910975,0.925212,0.911825,1.81429,2.04976,1.70041,60.0312,119.441,206.876,0.921968,330.479,-302.747,110.631,0.916086,0
0.735,119.221,120.459,118.643,208.134,207.202,205.29,1.06728,0.940339,0.758285,0.247025,127.242,113.272,89.965,-115.915,-104.801,-82.0323,46.293,34.774,29.5635,0.910975,0.925212,0.911825,1.81429,2.04976,1.70041,60.0312,119.441,206.876,0.921968,330.479,-302.747,110.631,0.916086,0
0.75,119.221,120.459,118.643,208.134,207.202,205.29,1.06728,0.940339,0.758285,0.247025,127.242,113.272,89.965,-115.915,-104.801,-82.0323,46.293,34.774,29.5635,0.910975,0.925212,0.911825,1.81429,2.04976,1.70041,60.0312,119.441,206.876,0.921968,330.479,-302.747,110.631,0.916086,0
0.766,119.235,120.501,118.605,208.226,207.221,205.212,1.06767,0.94122,0.761386,0.242704,127.304,113.418,90.3044,-115.832,-104.861,-82.1675,46.2582,34.9886,30.2335,0.909891,0.924549,0.909894,1.86837,2.03625,1.69708,60.0312,119.447,206.887,0.923426,331.026,-302.861,111.48,0.914914,0
0.782,119.235,120.501,118.605,208.226,207.221,205.212,1.06767,0.94122,0.761386,0.242704,127.304,113.418,90.3044,-115.832,-104.861,-82.1675,46.2582,34.9886,30.2335,0.909891,0.924549,0.909894,1.86837,2.03625,1.69708,60.0312,119.447,206.887,0.923426,331.026,-302.861,111.48,0.914914,0
0.813,119.235,120.501,118.605,208.226,207.221,205.212,1.06767,0.94122,0.761386,0.242704,127.304,113.418,90.3044,-115.832,-104.861,-82.1675,46.2582,34.9886,30.2335,0.909891,0.924549,0.909894,1.86837,2.03625,1.69708,60.0312,119.447,206.887,0.923426,331.026,-302.861,111.48,0.914914,0
0.829,119.235,120.501,118.605,208.226,207.221,205.212,1.06767,0.94122,0.761386,0.242704,127.304,113.418,90.3044,-115.832,-104.861,-82.1675,46.2582,34.9886,30.2335,0.909891,0.924549,0.909894,1.86837,2.03625,1.69708,60.0312,119.447,206.887,0.923426,331.026,-302.861,111.48,0.914914,0
0.844,119.235,120.501,118.605,208.226,207.221,205.212,1.06767,0.94122,0.761386,0.242704,127.304,113.418,90.3044,-115.832,-104.861,-82.1675,46.2582,34.9886,30.2335,0.909891,0.924549,0.909894,1.86837,2.03625,1.69708,60.0312,119.447,206.887,0.923426,331.026,-302.861,111.48,0.914914,0
0.875,119.235,120.501,118.605,208.226,207.221,205.212,1.06767,0.94122,0.761386,0.242704,127.304,113.418,90.3044,-115.832,-104.861,-82.1675,46.2582,34.9886,30.2335,0.909891,0.924549,0.909894,1.86837,2.03625,1.69708,60.0312,119.447,206.887,0.923426,331.026,-302.861,111.48,0.914914,0
0.891,119.235,120.501,118.605,208.226,207.221,205.212,1.06767,0.94122,0.761386,0.242704,127.304,113.418,90.3044,-115.832,-104.861,-82.1675,46.2582,34.9886,30.2335,0.909891,0.924549,0.909894,1.86837,2.03625,1.69708,60.0312,119.447,206.887,0.923426,331.026,-302.861,111.48,0.914914,0
0.907,119.235,120.501,118.605,208.226,207.221,205.212,1.06767,0.94122,0.761386,0.242704,127.304,113.418,90.3044,-115.832,-104.861,-82.1675,46.2582,34.9886,30.2335,0.909891,0.924549,0.909894,1.86837,2.03625,1.69708,60.0312,119.447,206.887,0.923426,331.026,-302.861,111.48,0.914914,0
0.922,119.235,120.501,118.605,208.226,207.221,205.212,1.06767,0.94122,0.761386,0.242704,127.304,113.418,90.3044,-115.832,-104.861,-82.1675,46.2582,34.9886,30.2335,0.909891,0.924549,0.909894,1.86837,2.03625,1.69708,60.0312,119.447,206.887,0.923426,331.026,-302.861,111.48,0.914914,0
0.954,119.235,120.501,118.605,208.226,207.221,205.212,1.06767,0.94122,0.761386,0.245131,127.304,113.418,90.3044,-115.832,-104.861,-82.1675,46.2582,34.9886,30.2335,0.909891,0.924549,0.909894,1.86837,2.03625,1.69708,60.0312,119.447,206.887,0.923426,331.026,-302.861,111.48,0.914914,0
0.969,119.23,120.502,118.62,208.207,207.219,205.254,1.06897,0.940262,0.760871,0.245131,127.453,113.304,90.2547,-115.981,-104.709,-82.0521,46.2092,35.0617,30.2284,0.909993,0.924148,0.909117,1.82702,2.0422,1.72374,60.0312,119.451,206.893,0.923367,331.011,-302.743,111.499,0.914599,0
0.985,119.23,120.502,118.62,208.207,207.219,205.254,1.06897,0.940262,0.760871,0.245131,127.453,113.304,90.2547,-115.981,-104.709,-82.0521,46.2092,35.0617,30.2284,0.909993,0.924148,0.909117,1.82702,2.0422,1.72374,60.0312,119.451,206.893,0.923367,331.011,-302.743,111.499,0.914599,0
