t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0,2282,4.99,1192.46,311.327,1.2081,678.39,678.293,-11.4651,311.761,0.110287,58.8156,58.7878,-1.80832,737.2,737.081,-13.2734
0.231,12.5,0,2281,4.92,1175.22,311.126,1.22341,690.869,690.766,-11.9341,311.561,0.116005,61.4303,61.3953,-2.07253,752.291,752.161,-14.0066
0.481,12.5,0,2282,4.94,1180.51,312.251,1.21024,685.605,685.494,-12.3333,312.752,0.109847,58.4182,58.4092,-1.02509,744.023,743.903,-13.3584
0.731,12.5,0,2281,4.93,1177.61,313.357,1.20732,687.497,687.427,-9.7812,313.786,0.114866,60.9389,60.9274,-1.18225,748.435,748.355,-10.9635
0.981,12.5,0,2282,4.98,1190.07,312.305,1.21893,691.654,691.552,-11.8441,312.799,0.112875,59.9175,59.9002,-1.43909,751.57,751.452,-13.2832
1.231,12.5,0,2281,4.92,1175.22,313.788,1.21087,688.541,688.469,-9.96597,314.318,0.113496,59.7626,59.7492,-1.26731,748.303,748.218,-11.2333
1.481,12.5,0,2281,4.96,1184.77,313.424,1.2228,691.896,691.754,-14.0551,313.948,0.113095,60.3588,60.3496,-1.05348,752.255,752.103,-15.1086
1.731,12.5,0,2281,4.94,1180.0,314.031,1.20984,687.191,687.099,-11.2895,314.532,0.114017,60.1246,60.1164,-0.99366,747.316,747.215,-12.2831
1.981,12.5,0,2282,4.95,1182.9,313.021,1.22407,692.062,691.941,-12.958,313.553,0.112189,59.6021,59.5901,-1.19306,751.664,751.531,-14.151
2.231,12.5,0,2280,4.96,1184.25,312.473,1.20089,684.111,684.039,-9.97879,312.966,0.116128,60.9328,60.912,-1.59213,745.041,744.951,-11.5709
2.481,12.5,0,2281,4.93,1177.61,314.428,1.22698,692.118,691.981,-13.7491,314.982,0.112437,59.8767,59.8715,-0.792685,751.993,751.853,-14.5417
2.731,12.5,0,2280,4.94,1179.48,315.034,1.2144,687.722,687.631,-11.1609,315.523,0.115047,60.3959,60.392,-0.687685,748.117,748.023,-11.8486
2.981,12.5,0,2281,4.97,1187.16,314.755,1.23371,692.666,692.474,-16.3229,315.197,0.113352,60.163,60.1528,-1.1073,752.828,752.627,-17.4302
3.231,12.5,0,2281,4.92,1175.22,312.575,1.22402,688.612,688.467,-14.1397,313.032,0.111754,59.2047,59.1892,-1.3549,747.817,747.656,-15.4946
3.481,12.5,0,2281,4.95,1182.39,311.656,1.2094,685.146,685.031,-12.5321,312.125,0.114816,60.8384,60.8236,-1.33812,745.984,745.855,-13.8702
3.731,12.5,0,2280,4.96,1184.25,318.553,1.24856,689.099,688.956,-14.0348,318.986,0.114166,59.4204,59.4195,-0.324928,748.514,748.376,-14.3597
3.981,12.5,0,2281,4.92,1175.22,318.481,1.22918,685.14,684.99,-14.3131,319.011,0.115888,60.0711,60.07,-0.364383,745.205,745.061,-14.6775
4.231,12.5,0,2280,4.93,1177.09,316.67,1.21907,687.433,687.317,-12.6063,317.152,0.117146,60.8158,60.8132,-0.564681,748.246,748.13,-13.171
